Inicial,,,Fase 0,,,Fase 1,,,Fase 2,,,Fase 3,,,Fase 4,,
Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Tiempo total
551428.0,4.4843000068794936e-05,269058.0004127696,551420.0,3.658012486000189,43896149832.002266,551412.0,0.9749374050002189,11699248860.002626,551404.0,0.044828103000327246,268968618.0019635,551404.0,1.014692019999984,6088152119.999905,551404.0,0.3134584869999344,1880750921.9996064,6.036437237999962
551404.0,4.390599997350364e-05,263435.99984102184,551400.0,3.656284945999687,43875419351.99625,551400.0,0.28462265600001047,3415471872.0001254,551396.0,0.044828220999988844,268969325.99993306,551396.0,1.0122426379998615,6073455827.999168,551396.0,0.2647409709998101,1588445825.9988606,5.294484259000001
551396.0,4.765599987877067e-05,285935.99927262403,551396.0,3.6462884429997757,43755461315.99731,551396.0,0.16532082399999126,1983849887.999895,551380.0,0.043369609999899694,260217659.99939817,551380.0,1.013129814000422,6078778884.002531,551380.0,0.14529549899998528,1017068492.999897,5.0426715720000175
551380.0,5.468700010169414e-05,382809.000711859,551380.0,3.6122478970000884,43346974764.00106,551380.0,0.16354790200011848,1962574824.0014217,551364.0,0.04435251999984757,266115119.99908543,551364.0,1.0133274609997898,6079964765.998738,551364.0,0.15631687199993394,1250534975.9994714,5.017932847000338
551364.0,3.6719000036100624e-05,293752.000288805,551356.0,3.6405014350002602,43686017220.00312,551348.0,0.16548512800000026,1985821536.000003,551348.0,0.043786379999801284,262718279.9988077,551348.0,1.012370737999845,6074224427.99907,551348.0,0.22734705599987137,1364082335.9992282,5.117937647999952
551348.0,4.328199975134339e-05,259691.99850806035,551340.0,3.6404052000002594,43684862400.00311,551332.0,0.16480965199980346,1977715823.9976416,551332.0,0.0444407670001965,266644602.001179,551332.0,1.0111738599998716,6067043159.999229,551332.0,0.22834308200026499,1370058492.00159,5.120026444999894
551332.0,5.291599973133998e-05,357182.99818654486,551576.0,3.6391418919997705,43669702703.997246,553340.0,0.16847437200021886,2021692464.0026264,553552.0,0.04353126300020449,261187578.00122693,553552.0,1.0115007310000692,6069004386.000415,553552.0,0.19540320499982045,1367822434.998743,5.086906599000031
553552.0,3.9896000089356676e-05,279272.00062549673,554308.0,3.6260806029999912,43512967235.99989,560860.0,0.18117104900011327,2174052588.0013595,560844.0,0.04372676599996339,262360595.99978036,560844.0,1.010077191000164,6060463146.000984,560844.0,0.11975443100027405,838281017.0019183,5.009611216999929
560844.0,4.1197999962605536e-05,288385.99973823875,560836.0,3.6619268519998514,43943122223.998215,562340.0,0.17070148399989193,2048417807.9987032,562340.0,0.0435805629999777,261483377.99986622,562340.0,1.0100046379998275,6060027827.998965,562340.0,0.10473024600014469,733111722.0010128,5.019425324000167
562340.0,3.9322999782598345e-05,275260.9984781884,563348.0,3.6352383749999717,43622860499.999664,568388.0,0.17338985299966225,2080678235.9959471,568372.0,0.04323411199993643,259404671.9996186,568372.0,1.0123489560000962,7086442692.000673,568372.0,0.14913793300001998,1043965531.0001398,5.041964049999933
568372.0,3.885400019498775e-05,271978.00136491423,568616.0,4.923547136000252,59082565632.00302,568616.0,0.17520796400003746,2102495568.0004497,568608.0,0.04333331199995882,259999871.99975294,568608.0,1.010676667000098,6064060002.000587,568608.0,0.12299607000022661,860972490.0015863,6.305331744000341
568608.0,8.541700026398757e-05,597919.001847913,568852.0,3.715884911000103,44590618932.001236,568844.0,0.16594386599990685,1991326391.998882,568844.0,0.04325109500041435,259506570.0024861,568844.0,1.01298332999977,6077899979.998619,568844.0,0.24364395800012062,1461863748.0007236,5.211825409000085
568844.0,4.4686999899568036e-05,268121.9993974082,568844.0,3.6777722660003747,44133267192.00449,568844.0,0.16389521800010698,1966742616.0012836,568828.0,0.04449049599998034,266942975.99988204,568828.0,1.011875315999987,6071251895.999922,568828.0,0.10769891400013876,753892398.0009713,5.035563791999721
568828.0,3.8072999814176e-05,266510.998699232,568828.0,3.6686350199997833,44023620239.9974,568828.0,0.16364177300010851,1963701276.0013022,568812.0,0.04425288199990973,265517291.9994584,568812.0,1.0103931389999161,6062358833.999496,568812.0,0.11409597400006533,798671818.0004573,5.030895473999863
568812.0,5.364500020732521e-05,375515.0014512765,568812.0,3.6505969730001198,43807163676.001434,568796.0,0.16434999400007655,1972199928.0009186,568796.0,0.0441891300001771,265134780.0010626,568796.0,1.0103158550000444,6061895130.000266,568796.0,0.12298458900022524,860892123.0015767,5.0211361970000326
568796.0,3.906199981429381e-05,273433.9987000567,569040.0,3.6586429740000312,32927786766.000282,569040.0,0.17966514999989158,2155981799.998699,569032.0,0.04541215400013243,272472924.0007946,569032.0,1.010079094000048,6060474564.000287,569032.0,0.2067447520003043,1240468512.0018258,5.131397677999757
569032.0,4.4270999751461204e-05,265625.9985087672,569024.0,3.6556915090000075,32901223581.00007,569024.0,0.18316455900003348,2197974708.0004015,569024.0,0.04329368200023964,259762092.00143784,569024.0,1.0110148290000325,6066088974.000195,569024.0,0.17652702200030035,1059162132.0018021,5.1009819249998145
569024.0,4.4426999920688104e-05,266561.9995241286,570276.0,3.6702089060004255,44042506872.005104,570276.0,0.1659408010000334,1991289612.0004008,570268.0,0.04881837400034783,292910244.002087,570268.0,1.0117259310000009,6070355586.000005,570268.0,0.18828864499982956,1129731869.9989774,5.114964128999873
570268.0,4.447899982551462e-05,266873.9989530877,570268.0,3.6157624020002004,32541861618.001804,570252.0,0.17866841200020644,2144020944.0024774,570252.0,0.04754804200001672,285288252.0001003,570252.0,1.008079184000053,6048475104.000318,570252.0,0.14216976999978215,995188389.9984751,5.024004222000258
570252.0,3.8593999761360465e-05,270157.99832952325,570244.0,3.676223731999926,44114684783.99911,570244.0,0.16402667900001688,1968320148.0002027,570232.0,0.043430329999864625,260581979.99918774,570232.0,1.0110947600001055,6066568560.000632,570232.0,0.2239928939998208,1343957363.9989247,5.147757055000056
570232.0,5.833400018673274e-05,350004.0011203964,570224.0,3.619609698000204,43435316376.00245,570224.0,0.1647608369999034,1977130043.9988408,570216.0,0.043304592999902525,259827557.99941516,570216.0,1.0142499200001112,6085499520.000667,570216.0,0.10082405599996491,705768391.9997544,4.972342761000164
570216.0,3.8021000364096835e-05,266147.00254867785,570208.0,3.613618691999818,43363424303.99782,570204.0,0.16500452800028143,1980054336.0033772,570200.0,0.04472229700013486,268333782.00080916,570200.0,1.0100638019998769,6060382811.999261,570200.0,0.16275437500007683,1139280625.0005379,5.024941520000084
570200.0,3.974000037487713e-05,278180.0026241399,570200.0,3.6260484129998076,43512580955.99769,570200.0,0.16695529700018596,2003463564.0022316,570184.0,0.04429808500026411,265788510.00158465,570184.0,1.013272715000312,6079636290.001872,570184.0,0.1122390120003729,785673084.0026103,4.99063567300027
570184.0,4.171899990979e-05,292032.99936853,570184.0,3.6616668649999156,29293334919.999325,570924.0,0.16880179500003578,2025621540.0004294,570924.0,0.044459555999765143,266757335.99859086,570924.0,1.0132986160001565,6079791696.000938,570924.0,0.15886760500006858,1112073235.00048,5.076862780000283
570924.0,4.010400016341009e-05,280728.00114387064,570924.0,3.6518783850001455,43822540620.00175,572420.0,0.1712627709998742,2055153251.9984903,572420.0,0.046748526000101265,280491156.0006076,572420.0,1.008916044000216,6053496264.001296,572420.0,0.16542408900022565,1157968623.0015795,5.0729664390000835
572420.0,4.5312000111152884e-05,317184.0007780702,572404.0,4.871342185999765,58456106231.997185,574168.0,0.16995719700025802,2039486364.0030963,574168.0,0.043905414000164456,263432484.00098673,574168.0,1.0122675590000654,6073605354.000392,574168.0,0.12606239200022173,882436744.0015521,6.251598403000116
574168.0,4.1197999962605536e-05,288385.99973823875,574160.0,3.718398323999736,44620779887.99683,574160.0,0.16972088900001836,2036650668.0002203,574152.0,0.043343884000023536,260063304.0001412,574152.0,1.0117259660000855,6070355796.000513,574152.0,2.6310381019998204,15786228611.998922,7.604954978000023
574152.0,4.489599996304605e-05,269375.9997782763,574152.0,3.693261440999777,44319137291.99732,574136.0,0.1669030279999788,2002836335.9997456,574136.0,0.043591275999915524,261547655.99949315,574136.0,1.0101421320000554,6060852792.000333,574136.0,0.14528742099992087,1017011946.999446,5.089053946000149
574136.0,3.979200027970364e-05,278544.0019579255,574128.0,3.6778984669999772,44134781603.999725,574128.0,0.16468662400029643,1976239488.0035572,574120.0,0.04370017400015058,262201044.0009035,574120.0,1.0188375920001818,6113025552.001091,574120.0,0.1857875900000181,1114725540.0001085,5.120488940000087
574120.0,4.510399958235212e-05,270623.9974941127,574120.0,3.6624996120003743,43949995344.00449,574104.0,0.1658633860001828,1990360632.0021937,574104.0,0.047649636999722134,285897821.9983328,574104.0,1.014606690999699,6087640145.998194,574104.0,0.19164209600012327,1149852576.0007396,5.112024913999903
574104.0,4.2239999856974464e-05,253439.99914184678,574104.0,3.6358740850000686,43630489020.000824,574104.0,0.1682089979999546,2018507975.999455,574088.0,0.04310377100000551,258622626.00003305,574088.0,1.01624123900001,6097447434.00006,574088.0,0.15933340099991256,1115333806.999388,5.051554726000177
574088.0,3.9323000237345695e-05,275261.00166141987,574332.0,3.6924469679997856,44309363615.99743,574324.0,0.17057846399984555,2046941567.9981465,574324.0,0.043498882000221784,260993292.0013307,574324.0,1.0127118479999808,7088982935.999866,574324.0,0.1858474179998666,1115084507.9991996,5.13399540599994
574324.0,4.432299965628772e-05,265937.9979377263,574576.0,3.6384432119998564,43661318543.998276,574560.0,0.16473999000027106,1976879880.0032527,574560.0,0.04331603199989331,259896191.99935988,574560.0,1.0123984359997849,6074390615.998709,574560.0,0.1698387719998209,1188871403.9987462,5.057556390999707
